X,Y,FID,PORT,TYPE,PORT_NAME,RANK,TOTAL,FOREIGN_,EXPORTS,IMPORTS,DOMESTIC
-8209607.6181,5257745.8262,1,505,C,"Albany Port District, NY",75,4706700,736750,366738,370012,3969950
-9286464.8387,5631282.2032,2,3617,L,"Alpena, MI",114,2197451,35968,18739,17229,2161483
-10030336.9644,4699050.7683,3,2309,I,"America's Central Port, IL",72,5528169,0,0,0,5528169
-13647726.1567,6189762.2646,4,4730,C,"Anacortes, WA",41,12181632,3948565,2491832,1456733,8233067
-8993944.2675,5146562.8251,5,3219,L,"Ashtabula Port Authority, OH",150,1145145,479882,416822,63060,665263
-8522802.7791,4757664.3388,6,700,C,"Baltimore, MD",16,40602248,36427430,15512382,20915048,4174818
-10474605.8164,3514464.0195,7,2393,C,"Beaumont, TX",7,74342746,53041728,13748369,39293359,21301018
-7907249.2983,5212418.34,8,90,C,"Boston, MA",76,4455140,2504396,2113784,390612,1950744
-8146233.432,5037744.8229,9,272,C,"Bridgeport, CT",143,1221276,74199,74199,0,1147077
-10842311.1264,2993162.0361,10,2420,C,"Brownsville, TX",50,9104782,6485184,5498255,986929,2619598
-10752608.3222,3328559.5944,11,2427,C,"Calhoun Port Authority, TX",77,4424143,2374095,696488,1677607,2050048
-8973258.2118,3301282.09,12,2160,C,"Canaveral Port District, FL",66,6409414,4888177,4784205,103972,1521237
-10290448.7583,3673345.7314,13,2227,I,"Central Louisiana Regional, LA",105,2447462,0,0,0,2447462
-9498538.1534,4167208.3761,14,2372,I,"Chattanooga, TN",113,2242927,0,0,0,2242927
-9407650.7986,4735251.3646,15,2445,I,"Cincinnati, OH",69,6100844,0,0,0,6100844
-9385659.0766,5778969.5691,16,3627,L,"Clark Township, MI",100,2751495,111660,40276,71384,2639835
-9091675.4333,5083181.543,17,3217,L,"Cleveland-Cuyahoga Port, OH",49,9239412,1414217,1214891,199326,7825195
-8966629.1361,5155994.0672,18,3227,L,"Conneaut, OH",95,2916594,109788,42990,66798,2806806
-13826938.2917,5367466.472,19,4659,C,"Coos Bay OR, Port of",99,2824976,2771532,420963,2350569,53444
-10842283.5191,3225388.8119,20,2436,C,"Corpus Christi, TX",3,174327410,148617624,17214855,131402769,25709786
-9251716.7936,5201374.0399,21,3321,L,"Detroit-Wayne County Port, MI",51,9058895,2374484,2294967,79517,6684411
-10252125.2424,5905971.8487,22,3924,L,"Duluth-Superior, MN and WI",20,29632165,6764321,886389,5877932,22867844
-10554501.4847,3415224.1215,23,2417,C,"Galveston, TX",38,13530166,5289483,1841547,3447936,8240683
-13823225.3414,5926443.8998,24,4709,C,"Grays Harbor Port District, WA",128,1797424,1716162,286669,1429493,81262
-10041605.7251,3391176.0753,25,1910,C,"Greater Lafourche Port, LA",63,6948460,82093,74683,7410,6866367
